ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
17034,Body,10/18/2023,After Sales,Become notice wait surface.,High,Interior,Truck
17035,Other,5/3/2016,Customer Delivery,Power structure yes material entire few.,Low,Suspension,Hatchback
17036,Software,2/4/2023,Production,Leg crime tend continue bar dream.,Medium,Other,Hatchback
17037,Software,1/27/2021,Production,Want generation however idea magazine reality plan.,Medium,System,SUV
17038,Electrical,2/2/2022,Customer Delivery,Situation hear feel risk.,Low,Electrical System,Hatchback
17039,Electrical,11/13/2018,Testing,Network husband wait do.,High,Engine,Hatchback
17040,Electrical,2/22/2022,After Sales,Single population open kitchen.,High,Other,SUV
17041,Electrical,1/8/2018,Testing,Bed until less where possible discuss level.,Medium,Transmission,SUV
17042,Software,10/9/2015,Production,Run more about ok much every day security.,Low,System,Hatchback
17043,,10/7/2023,,,,,
17044,Other,12/16/2022,After Sales,Brother ok challenge.,Medium,Electrical System,Hatchback
17045,Software,1/28/2018,After Sales,White myself better situation theory.,Medium,Other,SUV
17046,Mechanical,6/1/2022,Testing,Remember maintain house sure forget quality.,Medium,Engine,Truck
17047,Software,5/7/2020,Testing,Into where check within president week young.,Low,Other,Sedan
17048,Software,3/3/2016,After Sales,Eat drug certain black environment.,Medium,System,Truck
17049,Body,10/31/2022,After Sales,Total page ability beyond cultural ready machine station.,Low,Interior,Truck
17050,Electrical,2/16/2015,Customer Delivery,Under member it positive.,High,Engine,Hatchback
17051,Software,3/25/2021,Customer Delivery,Natural collection prepare to hour sell get.,Medium,Other,Hatchback
17052,Software,7/22/2021,Production,Next manager expert painting adult.,Medium,Other,Hatchback
17053,Mechanical,10/26/2020,Customer Delivery,However go my wonder increase heavy model.,High,Suspension,SUV
17054,Mechanical,6/12/2018,After Sales,Summer meet health.,Medium,Interior,Hatchback
17055,Mechanical,1/15/2023,After Sales,Factor ok thus idea visit clear conference.,Medium,Body Panels,Hatchback
17056,Body,3/18/2022,Testing,Deal similar open son turn.,Medium,Other,Sedan
17057,Body,7/21/2021,After Sales,East figure health evidence however east door.,Low,Interior,Hatchback
17058,Body,5/13/2017,Production,Public energy suddenly.,Low,Body Panels,Hatchback
17059,Body,2/24/2023,Customer Delivery,Board really his fish beautiful.,Low,Interior,Hatchback
17060,Other,9/20/2022,Customer Delivery,Lot require career recent sit foreign.,High,Body Panels,Truck
17061,Mechanical,1/18/2021,Production,Chance top form who game decade including city.,High,Brakes,Sedan
17062,Electrical,8/30/2019,Testing,Moment program ever ball son reach task son.,Medium,Brakes,Sedan
17063,Body,11/18/2018,Customer Delivery,Today fund reduce body might.,Low,Interior,Truck
17064,Mechanical,3/13/2018,After Sales,What on certain happy scientist perhaps.,Medium,Transmission,Hatchback
17065,Body,1/10/2023,Production,Same kid nation.,Low,Other,SUV
17066,Other,11/7/2020,Customer Delivery,Letter economic that class information war those our.,Medium,Engine,Truck
17067,Software,2/7/2017,Testing,Stuff beyond the resource shoulder.,Medium,System,SUV
17068,Other,11/15/2023,Production,Shake song oil place scientist theory.,Low,Electrical System,Hatchback
17069,Software,3/27/2018,Testing,Federal story federal maintain toward up.,High,Other,Sedan
17070,Body,9/7/2020,Customer Delivery,Place name thus more conference amount themselves.,Medium,Electrical System,Truck
17071,Electrical,8/25/2018,After Sales,Eat seek face sign ago character.,High,Interior,Hatchback
17072,,8/18/2015,,,,,
17073,Other,5/28/2018,Production,A Republican improve laugh operation inside.,Low,Transmission,SUV
17074,Mechanical,6/5/2022,Production,Century your few still success.,High,Engine,Truck
17075,Software,3/1/2020,After Sales,Production receive ask born close black without chair.,High,Other,SUV
17076,Body,1/4/2023,Customer Delivery,Important travel government walk thousand wife receive.,High,Body Panels,SUV
17077,Electrical,2/9/2016,Customer Delivery,Mind develop among throughout marriage old add.,Low,Engine,Sedan
17078,Other,7/6/2020,Testing,Present trip catch success.,Low,Other,Sedan
17079,Software,5/28/2013,After Sales,While military stop wife.,High,System,SUV
17080,Electrical,4/23/2016,Customer Delivery,Hit chair knowledge appear nothing school son.,Medium,Engine,Truck
17081,Software,7/5/2016,After Sales,Grow reflect successful number clearly across.,Medium,Other,Hatchback
17082,Mechanical,4/4/2023,Customer Delivery,Today interesting next down much suddenly watch.,Low,Transmission,Hatchback
17083,Software,9/18/2019,After Sales,Word measure kid adult language population four.,High,System,Sedan
17084,Body,12/10/2023,Production,Foreign I particularly across.,High,Other,SUV
17085,Other,12/16/2023,Testing,Responsibility tree manager ask scientist in site.,Medium,Other,SUV
17086,Electrical,11/3/2020,Customer Delivery,Next stage maintain interest process finally.,Medium,Suspension,SUV
17087,Body,8/13/2023,Production,Arm capital TV suggest provide party serious.,Low,Electrical System,Truck
17088,Body,2/2/2021,Production,Fear land run color place should.,Medium,Electrical System,Sedan
17089,Electrical,5/3/2018,Testing,Thought until tonight lay.,Medium,Body Panels,SUV
17090,Other,9/12/2016,Customer Delivery,Second nearly act suggest ten worry.,Low,Brakes,Truck
17091,Electrical,9/11/2022,Production,Capital building production history.,Medium,Body Panels,Hatchback
17092,Other,10/24/2022,Customer Delivery,Help ahead event different.,High,Suspension,Sedan
17093,Mechanical,1/26/2017,After Sales,Machine beat car skill home general detail.,High,Brakes,SUV
17094,Other,12/11/2023,Production,Our subject anything important everything full.,Low,Electrical System,Truck
17095,Software,6/16/2021,After Sales,Sing Mrs write test trouble team.,Medium,Other,SUV
17096,Other,8/3/2015,After Sales,Eight help top age.,Medium,Transmission,SUV
17097,Body,8/28/2022,Testing,Him these admit significant need audience.,Low,Other,Truck
17098,Electrical,9/26/2017,Production,Magazine morning probably money box evening.,High,Suspension,SUV
17099,,7/10/2020,,,,,
17100,Electrical,3/16/2023,Production,Response word provide these focus ten.,Low,Other,Truck
17101,Mechanical,12/18/2023,Customer Delivery,Weight social whole each half president trial.,Medium,Electrical System,Sedan
17102,Other,8/3/2021,Production,Case item set those course usually.,Medium,Suspension,Truck
17103,Electrical,10/25/2023,Testing,Could increase something fight.,Medium,Electrical System,Sedan
17104,Electrical,12/7/2022,Testing,Major image player reach decide activity decide.,High,Suspension,Truck
17105,Software,1/13/2019,Production,Card practice mother.,Medium,Other,SUV
17106,Mechanical,10/4/2016,Customer Delivery,Five mother especially research green film.,High,Electrical System,Sedan
17107,Other,3/7/2017,After Sales,Effort firm still office home five.,High,Brakes,Truck
17108,Other,12/30/2023,Testing,Risk challenge lead.,Low,Electrical System,SUV
17109,Software,2/24/2015,After Sales,Show throw nothing center its degree guy force.,Low,Other,Hatchback
17110,Mechanical,10/19/2022,After Sales,Relate imagine edge hundred.,Medium,Engine,Truck
17111,Other,5/8/2021,Testing,Rather area test election.,High,Transmission,SUV
17112,Mechanical,12/13/2023,Customer Delivery,Million last speech show who.,High,Body Panels,SUV
17113,Mechanical,2/8/2023,Production,Maintain then life agree under foreign performance.,High,Transmission,SUV
17114,Other,10/7/2023,Testing,Public if event three morning.,High,Electrical System,Sedan
17115,Other,12/22/2021,After Sales,Would a bill campaign report.,Low,Other,Truck
17116,Body,9/18/2017,Testing,Surface democratic PM drug including business however.,High,Electrical System,Hatchback
17117,Electrical,2/27/2019,Customer Delivery,Against old small interest family.,Medium,Electrical System,Sedan
17118,Software,10/20/2015,Production,Need million may run watch affect.,High,Other,Sedan
17119,Electrical,12/26/2023,Production,Theory effort sister within.,Low,Interior,Hatchback
17120,Electrical,5/25/2023,Customer Delivery,Difficult traditional chair sometimes.,Low,Body Panels,SUV
17121,Electrical,2/24/2023,Production,Set across structure trial seek property represent.,Medium,Transmission,SUV
17122,Other,9/24/2022,Customer Delivery,Authority treat suggest number doctor meet loss.,Medium,Body Panels,Hatchback
17123,Mechanical,6/11/2021,After Sales,Face doctor measure subject benefit also five.,Medium,Body Panels,Hatchback
17124,Mechanical,8/18/2021,Production,Well maintain college land.,Medium,Transmission,SUV
17125,Other,1/25/2020,Production,Health sit both tree data hundred.,High,Engine,Truck
17126,Body,5/21/2022,Testing,Discussion size huge stop start.,Low,Interior,Hatchback
17127,Electrical,9/19/2018,Production,Remain send age TV reason member.,Low,Suspension,Sedan
17128,Mechanical,9/24/2013,Customer Delivery,American middle sort physical environment.,High,Brakes,SUV
17129,Software,10/11/2013,Testing,Deal beyond son raise.,High,Other,Truck
17130,Electrical,5/6/2019,After Sales,Exist project worry view never.,Medium,Suspension,Truck
17131,Other,3/21/2023,Production,Especially develop short.,Medium,Body Panels,SUV
17132,Other,1/18/2023,After Sales,Out campaign special interesting lawyer coach rich beyond.,Low,Suspension,SUV
17133,Other,12/19/2022,Customer Delivery,Might money staff interesting perhaps minute.,Medium,Suspension,Truck
17134,Electrical,5/28/2018,Testing,Left citizen range.,High,Suspension,Truck
17135,Mechanical,4/28/2020,After Sales,Measure father ok wonder reveal.,Medium,Body Panels,SUV
17136,Body,2/16/2019,Testing,Serious former heavy require project out quickly.,Low,Electrical System,SUV
17137,Electrical,7/6/2022,Customer Delivery,Not serve size well century.,Medium,Electrical System,SUV
17138,,7/16/2015,,,,,
17139,Mechanical,10/21/2016,Production,Wrong thing agency.,Low,Other,Sedan
17140,Body,3/27/2015,After Sales,Policy quickly hour to nothing section talk.,Medium,Interior,Hatchback
17141,Electrical,12/8/2023,Customer Delivery,Star toward husband.,High,Other,SUV
17142,Electrical,1/25/2022,Customer Delivery,Bag dream simple conference compare other old.,High,Transmission,SUV
17143,Body,2/17/2022,Testing,Plan painting adult personal.,Medium,Suspension,SUV
17144,Other,10/22/2012,Production,Receive trouble west between particularly stand lot.,Low,Interior,SUV
17145,Electrical,7/25/2023,Customer Delivery,Reality every huge analysis key.,Medium,Electrical System,SUV
17146,Mechanical,8/29/2021,After Sales,East face store meeting campaign up.,Low,Brakes,SUV
17147,Body,2/25/2014,Testing,To energy green same toward.,High,Suspension,SUV
17148,Software,1/28/2019,Production,Look human remain simply most charge mean.,Medium,System,Truck
17149,Other,4/4/2023,Production,Its energy then community.,Medium,Other,Sedan
17150,Other,10/26/2011,Testing,Wonder rock present various coach blue employee.,Medium,Engine,SUV
17151,Body,7/16/2023,Customer Delivery,Student professor anyone Mrs us firm.,Low,Body Panels,SUV
17152,Body,11/8/2017,Production,Particularly itself student under treatment language.,Medium,Interior,Hatchback
17153,Software,12/28/2015,Production,Occur sell support with star their.,High,System,Truck
17154,Other,10/28/2023,Testing,Pick without together natural.,Medium,Body Panels,SUV
17155,Electrical,11/29/2022,Production,Meeting they citizen case matter give stand raise.,High,Body Panels,Sedan
17156,Other,11/2/2021,Customer Delivery,After citizen history drop.,High,Interior,Truck
17157,Body,1/6/2014,Customer Delivery,My through life way.,Low,Brakes,Hatchback
17158,,12/3/2019,,,,,
17159,Body,1/6/2023,Customer Delivery,Modern war system.,Low,Body Panels,Sedan
17160,Electrical,2/15/2021,Production,Article claim discover.,Low,Engine,Hatchback
17161,Mechanical,8/25/2022,After Sales,Particular car enter despite after rule blue.,High,Body Panels,Hatchback
17162,Body,3/26/2023,Customer Delivery,Admit somebody pay measure nation them language.,High,Interior,Truck
17163,Other,12/20/2019,Production,Note dark price market.,Medium,Body Panels,Sedan
17164,Other,5/2/2018,After Sales,Ability water daughter cover.,Medium,Engine,Hatchback
17165,Software,2/21/2016,Customer Delivery,Company include resource.,High,System,Truck
17166,Other,10/9/2022,Testing,Together join there wrong produce second.,Medium,Suspension,SUV
17167,Other,7/19/2023,After Sales,Easy close song central.,Medium,Engine,SUV
17168,Other,10/24/2023,After Sales,Save information common which.,High,Interior,Truck
17169,Electrical,7/31/2021,After Sales,His soldier doctor high ten experience police.,Low,Transmission,Hatchback
17170,Electrical,11/12/2023,Testing,Particularly doctor until site information.,Medium,Interior,Sedan
17171,Mechanical,6/27/2023,Testing,Second question table several front build manage.,Low,Brakes,Truck
17172,Mechanical,12/22/2023,After Sales,Television customer street daughter fund clear daughter.,High,Electrical System,SUV
17173,Other,4/30/2020,Customer Delivery,Should phone avoid degree can up watch.,Low,Engine,Sedan
17174,Mechanical,10/7/2020,After Sales,Like church skill responsibility major.,High,Suspension,Sedan
17175,Other,4/29/2020,After Sales,Medical available suggest instead design notice morning.,High,Brakes,Truck
17176,Other,7/7/2022,Testing,Tax meeting run shoulder former lead.,Low,Electrical System,SUV
17177,Electrical,7/21/2023,Production,Bill rise win also.,Low,Suspension,Hatchback
17178,Other,12/14/2022,Testing,Beat it goal treatment stay stock laugh.,Medium,Interior,Sedan
17179,Mechanical,7/2/2023,Testing,Most top remain how store hotel deep mouth.,Low,Brakes,Truck
17180,Mechanical,6/28/2023,Production,News all similar of star teach.,Low,Body Panels,Truck
17181,Software,2/9/2022,Testing,Increase official today participant present what.,High,System,SUV
17182,Software,10/19/2022,Testing,Scientist evening senior today blood who.,High,Other,Hatchback
17183,Mechanical,3/4/2021,Customer Delivery,Lay few part.,Medium,Engine,Hatchback
17184,Software,10/22/2013,After Sales,Better however who later sometimes hair.,High,Other,SUV
17185,,12/18/2023,,,,,
17186,Electrical,2/22/2020,Customer Delivery,Pattern region across hard decide effect free.,Medium,Electrical System,Truck
17187,Electrical,11/21/2023,Customer Delivery,Shoulder with special drop security.,High,Transmission,Sedan
17188,Mechanical,7/26/2023,Testing,East fly if build yourself increase truth.,Low,Engine,Truck
17189,Electrical,3/9/2023,After Sales,Sometimes beat data indeed.,High,Suspension,Truck
17190,Electrical,8/14/2018,After Sales,Leg they event law thought grow any.,Low,Electrical System,Truck
17191,Mechanical,6/19/2019,Testing,Perform since fight very.,Medium,Body Panels,SUV
17192,Body,10/9/2021,Customer Delivery,Forget when ahead organization thank thing.,Medium,Body Panels,Sedan
17193,Electrical,11/13/2018,Testing,Suffer very throughout.,High,Electrical System,Truck
17194,Software,2/27/2023,Customer Delivery,Visit daughter different capital later property color.,High,Other,Hatchback
17195,Electrical,3/26/2014,After Sales,Risk simple billion threat.,Low,Brakes,Truck
17196,Software,12/20/2022,Production,Others organization evening instead team age career.,High,Other,Truck
17197,Software,7/9/2022,Customer Delivery,Room media student role.,Low,Other,Truck
17198,Body,10/16/2023,Testing,Stuff available new very peace.,Low,Engine,Truck
17199,Other,9/19/2019,After Sales,Eat night people example treat happy involve.,Medium,Engine,SUV
17200,Body,3/16/2011,Production,Age building sure month.,High,Brakes,Hatchback
17201,Body,12/14/2022,Customer Delivery,One college newspaper people.,Medium,Suspension,SUV
17202,Body,9/16/2021,Customer Delivery,Just amount strong wife establish affect.,High,Interior,Hatchback
17203,Electrical,12/25/2023,Production,Know year do mind audience enter on.,Medium,Electrical System,Hatchback
17204,,9/6/2020,,,,,
17205,Mechanical,11/10/2013,Production,Garden step operation something decade.,High,Engine,Truck
17206,Other,3/30/2014,Production,Oil political nothing tell already prevent.,Low,Body Panels,SUV
17207,Electrical,11/19/2019,Customer Delivery,Role stuff water idea listen expert drop.,High,Transmission,Hatchback
17208,Mechanical,8/27/2023,Customer Delivery,Authority government mission.,Medium,Body Panels,Sedan
17209,Mechanical,7/25/2021,Testing,Certain democratic list remain.,Medium,Engine,Hatchback
17210,,6/4/2023,,,,,
17211,Mechanical,8/12/2022,Testing,Detail task turn particularly.,Low,Engine,Sedan
17212,Software,11/20/2020,Customer Delivery,Include player look.,Low,Other,SUV
17213,Electrical,10/19/2021,Testing,Deal you evening stand hospital card.,Low,Electrical System,SUV
17214,Body,12/12/2019,After Sales,Free maintain political memory.,Low,Body Panels,Sedan
17215,Electrical,1/25/2021,Customer Delivery,Course anything call understand question.,Low,Body Panels,Hatchback
17216,Mechanical,8/31/2014,Testing,Behind care much future side standard accept tax.,Medium,Electrical System,Sedan
17217,Electrical,3/15/2022,Testing,Or mind avoid size.,Low,Interior,Sedan
17218,Other,7/15/2020,After Sales,Eat Mrs even represent drug.,High,Interior,Hatchback
17219,Body,8/23/2022,Testing,Support then high expect focus determine.,High,Body Panels,Sedan
17220,Software,2/14/2022,Production,Nothing national voice draw.,Low,System,Sedan
17221,Other,1/13/2023,After Sales,Street affect college front challenge occur specific.,Medium,Other,Truck
17222,Software,8/1/2023,Customer Delivery,Large accept health big not style with.,High,System,Sedan
17223,Software,7/5/2020,Testing,Figure girl adult impact thus perform candidate college.,Low,System,SUV
17224,Mechanical,8/1/2023,Customer Delivery,Former population budget professor across hot any.,High,Electrical System,Hatchback
17225,Software,5/30/2022,Production,Television you hope marriage.,Low,System,SUV
17226,Mechanical,2/3/2023,Customer Delivery,Imagine station include great magazine option begin.,Low,Other,SUV
17227,Body,1/1/2023,Production,Whatever professor hope wind each tonight miss.,Medium,Engine,Hatchback
17228,Electrical,3/31/2018,Testing,Morning its probably product necessary note.,Low,Suspension,Sedan
17229,,6/15/2023,,,,,
17230,Mechanical,1/29/2014,Customer Delivery,Opportunity goal produce staff choice figure back.,Medium,Brakes,Truck
17231,Software,12/1/2023,Production,Across fast together over may want score person.,Medium,Other,Sedan
17232,Electrical,10/17/2022,Production,As girl do appear present summer law take.,Medium,Electrical System,Truck
17233,Software,6/30/2010,After Sales,Attention huge another respond.,Medium,Other,Hatchback
17234,Software,10/17/2023,Customer Delivery,Man public surface full.,Medium,Other,Hatchback
17235,Electrical,5/22/2017,Customer Delivery,Carry us city church because although.,Medium,Electrical System,SUV
17236,Electrical,6/3/2017,After Sales,Later story cause budget cause.,Low,Engine,SUV
17237,Electrical,10/30/2022,Customer Delivery,Professor lead tonight reason woman.,High,Electrical System,SUV
17238,,8/8/2023,,,,,
17239,Body,2/28/2016,After Sales,Cell but she meeting change finish.,Low,Other,Hatchback
17240,Software,7/16/2020,Customer Delivery,Interest assume federal rule long best sing.,High,Other,SUV
17241,Body,11/2/2016,After Sales,Successful movie development for professor medical live safe.,Low,Body Panels,Sedan
17242,Mechanical,1/28/2019,Customer Delivery,Put share unit wish system foreign.,High,Interior,Truck
17243,Software,10/27/2023,Testing,Outside learn learn investment.,High,System,SUV
17244,Electrical,7/26/2019,Production,Suddenly study former bar.,Low,Engine,Sedan
17245,Electrical,8/31/2023,Testing,Summer executive only small understand responsibility treatment.,Medium,Suspension,Hatchback
17246,Software,2/22/2016,Customer Delivery,Interest institution standard blue.,High,System,Sedan
17247,,1/21/2018,,,,,
17248,Other,8/30/2021,Testing,Research many hospital responsibility evidence future.,Low,Interior,Sedan
17249,,4/7/2012,,,,,
17250,Body,6/15/2023,After Sales,Region top quite lay data eye personal protect.,High,Body Panels,SUV
17251,Other,12/8/2019,Testing,Place positive true audience bank father debate.,Low,Interior,SUV
17252,,9/28/2015,,,,,
17253,Body,1/23/2021,After Sales,History agent same money line reach recently.,Medium,Transmission,Hatchback
17254,Electrical,11/6/2022,Testing,Allow matter south certain data performance.,High,Electrical System,Hatchback
17255,Software,4/14/2018,Production,Position anyone executive.,High,Other,SUV
17256,Mechanical,12/15/2023,Production,Help prepare customer far response value financial.,High,Engine,Sedan
17257,Mechanical,11/1/2023,After Sales,Rich arrive look maintain.,Medium,Transmission,Hatchback
17258,Other,12/9/2022,Customer Delivery,Third care quality discover response gun.,High,Suspension,Truck
17259,Mechanical,5/31/2023,Production,Own nothing appear meeting white garden perhaps.,High,Other,Hatchback
17260,Other,10/11/2021,Production,Seem everything college section far.,Low,Other,Sedan
17261,Other,12/27/2021,Production,Guess mean example speak land age how simply.,High,Suspension,Hatchback
17262,Software,2/5/2015,After Sales,Issue behavior commercial move.,Low,System,Hatchback
17263,Other,5/8/2021,Production,Tough price cost election.,High,Engine,Sedan
17264,,12/7/2021,,,,,
17265,Electrical,9/18/2023,Testing,Rock stage my candidate himself.,Medium,Transmission,SUV
17266,Mechanical,3/7/2020,After Sales,Lot enough same huge manager.,Low,Electrical System,Hatchback
17267,Software,10/20/2020,After Sales,Place church four significant candidate.,Low,System,Sedan
17268,Software,4/2/2017,Customer Delivery,Popular return center particular perform way.,Medium,Other,Hatchback
17269,Software,2/22/2023,Production,Different better staff finish bit need.,High,System,SUV
17270,,5/13/2023,,,,,
17271,Mechanical,12/17/2023,Production,Any from key party.,Medium,Transmission,SUV
17272,Mechanical,11/25/2022,Production,Statement compare prepare them sense exactly.,Low,Interior,Sedan
17273,Body,12/30/2021,Production,State forward arm share.,Medium,Electrical System,Truck
17274,Electrical,8/1/2020,Production,Head compare religious over walk total.,Medium,Electrical System,Sedan
17275,,9/20/2023,,,,,
17276,,6/14/2021,,,,,
17277,Other,3/14/2019,Customer Delivery,Knowledge eye which.,High,Body Panels,Truck
17278,Body,11/3/2021,Customer Delivery,Listen although big.,Low,Other,SUV
17279,Other,8/27/2023,Testing,Civil someone provide model model development begin attack.,Low,Interior,Hatchback
17280,Electrical,9/11/2023,Testing,Environment manage town agree nature.,Medium,Brakes,SUV
17281,Electrical,5/17/2022,After Sales,Peace others responsibility dog expert question.,Low,Electrical System,SUV
17282,Body,3/31/2011,Testing,If piece industry expert.,Low,Interior,Truck
17283,Mechanical,10/4/2013,After Sales,Market current character style.,Medium,Electrical System,Hatchback
17284,Body,5/1/2023,After Sales,Level tell free available question production.,High,Body Panels,Truck
17285,Software,5/5/2020,Testing,While visit something attack main by project.,Medium,System,Truck
17286,Electrical,2/19/2023,Testing,Deep bring size front people.,Medium,Suspension,Sedan
17287,Mechanical,11/15/2022,Production,Once investment degree kid.,Medium,Brakes,Truck
17288,Body,8/23/2023,After Sales,Market ability office authority.,Low,Body Panels,Hatchback
17289,Software,5/29/2021,After Sales,Budget run prepare return subject feeling team.,Low,System,Sedan
17290,Mechanical,5/11/2022,Testing,Space exactly grow change beautiful office here.,High,Brakes,SUV
17291,Body,6/17/2019,Customer Delivery,Relate director customer situation beautiful when paper.,Low,Transmission,Hatchback
17292,Electrical,12/11/2020,Customer Delivery,Send body close civil care.,High,Interior,Truck
17293,Other,1/20/2018,Production,Tough choose however table.,High,Brakes,Truck
17294,Software,3/27/2023,Testing,Something determine quality brother.,Medium,Other,Hatchback
17295,Mechanical,11/4/2022,Production,Miss weight do allow here drop buy.,Low,Electrical System,SUV
17296,Electrical,8/25/2019,Customer Delivery,Effect know painting million three evening.,High,Interior,Truck
17297,Electrical,6/27/2023,After Sales,Spring lose size attorney field plan.,Medium,Brakes,Sedan
17298,Body,6/23/2021,After Sales,Anything operation strong house door.,High,Engine,Hatchback
17299,Mechanical,6/27/2021,Testing,Buy pass skin coach goal staff full skin.,High,Electrical System,Sedan
17300,Other,1/27/2021,Testing,Light camera laugh understand question the nearly movement.,Low,Suspension,Truck
17301,Body,12/7/2022,Testing,Himself drug group.,Medium,Engine,Hatchback
17302,Software,7/10/2022,After Sales,Me public effort on recently source contain choose.,Low,Other,Hatchback
17303,Body,7/23/2017,Customer Delivery,Century box century building.,High,Interior,SUV
17304,Other,4/27/2014,After Sales,Alone serve itself once crime show specific all.,High,Electrical System,Hatchback
17305,,12/27/2023,,,,,
17306,Electrical,12/31/2023,After Sales,Fill toward young threat discuss good wide cold.,High,Suspension,Truck
17307,Mechanical,7/3/2019,Production,Adult civil our think program deal affect cause.,Low,Brakes,Truck
17308,Body,10/16/2023,Customer Delivery,Success feel maybe more control.,Low,Transmission,Hatchback
17309,Software,7/7/2013,Production,Card continue each soldier analysis key window.,High,System,Truck
17310,Body,3/19/2022,Customer Delivery,Give social cause reduce wrong.,Low,Engine,Truck
17311,Other,1/25/2017,Production,Coach product about between arm finish.,Low,Electrical System,Hatchback
17312,Body,4/17/2023,After Sales,Charge land practice tonight.,Medium,Interior,SUV
17313,Body,9/5/2023,Testing,Break local be believe.,Medium,Interior,Sedan
17314,,6/27/2022,,,,,
17315,Other,5/14/2021,Production,Experience finally audience their would.,High,Brakes,SUV
17316,Body,10/11/2018,Production,Design reveal live war early trip matter particular.,Medium,Brakes,Truck
17317,,4/23/2020,,,,,
17318,Mechanical,4/6/2020,Production,Everything tonight more water itself course.,Medium,Other,Truck
17319,Software,1/31/2022,After Sales,Father argue culture thank.,Low,System,Hatchback
17320,Electrical,2/20/2023,Production,Green international society crime author.,High,Body Panels,SUV
17321,Other,3/31/2023,After Sales,Chair play student.,Low,Interior,Hatchback
17322,Software,3/20/2021,After Sales,Edge some member.,Medium,System,Hatchback
17323,Software,2/23/2021,Production,Cultural maintain gun protect family break.,Medium,System,Hatchback
17324,Software,4/30/2021,After Sales,Rich once party respond certainly produce exactly.,High,System,Hatchback
17325,Body,2/16/2021,Customer Delivery,President you raise leg force do size.,High,Body Panels,Hatchback
17326,Electrical,12/15/2023,Production,Cup cause its music.,Low,Engine,SUV
17327,Other,3/29/2019,Production,End visit campaign until already memory religious.,High,Engine,Sedan
17328,Software,12/15/2014,After Sales,Them well available major grow financial poor.,Low,Other,Sedan
17329,Software,3/31/2012,Production,War within I.,High,Other,SUV
17330,Software,6/13/2016,Testing,Radio power process nearly hard interesting short.,High,Other,Truck
17331,Other,8/19/2022,Customer Delivery,Should nature politics how camera their full security.,Medium,Transmission,Sedan
17332,Software,12/19/2023,Customer Delivery,Kid foot tend news account three exactly.,High,Other,Sedan
17333,Electrical,12/10/2021,Production,From fast close option window hold authority magazine.,High,Suspension,Truck
17334,Body,8/12/2023,Testing,Responsibility character do total major.,Medium,Brakes,Sedan
17335,Mechanical,10/14/2020,After Sales,Born most her decide happy knowledge.,Low,Suspension,Truck
17336,Body,9/9/2021,Testing,Capital tough if natural worry serve.,High,Brakes,SUV
17337,Electrical,10/11/2023,Testing,Season maintain despite quality home knowledge tax fight.,Medium,Body Panels,Hatchback
17338,Other,11/11/2014,Customer Delivery,Central race PM meeting.,Low,Transmission,Sedan
17339,Software,4/10/2017,Customer Delivery,Event decision current call effect research.,Medium,System,Truck
17340,Other,11/6/2022,Production,Age chance show down minute high.,Medium,Brakes,Sedan
17341,Body,1/18/2016,Production,Study now continue year you.,High,Body Panels,Truck
17342,Mechanical,9/6/2023,Customer Delivery,Begin than say respond thousand.,Medium,Interior,Sedan
17343,Electrical,4/12/2020,Customer Delivery,Heavy approach nature no church.,Medium,Transmission,Truck
17344,Electrical,9/9/2022,Customer Delivery,Real live accept everybody deal.,Low,Other,SUV
17345,Mechanical,12/7/2023,Production,Quickly investment anyone position writer end accept.,High,Brakes,Hatchback
17346,Software,6/9/2023,After Sales,Begin different age general relationship every.,High,System,Truck
17347,Software,11/15/2023,Production,Same choose federal lose show.,Medium,Other,Hatchback
17348,Electrical,10/15/2023,Production,Site suddenly part bag growth imagine despite.,High,Brakes,Sedan
17349,Software,7/12/2023,Production,Coach marriage industry war from officer.,Low,System,Truck
17350,Other,10/24/2023,Customer Delivery,Course trade lose thank.,High,Interior,Hatchback
17351,Mechanical,10/2/2015,Customer Delivery,Really admit send.,Low,Transmission,Truck
17352,Other,7/19/2017,Customer Delivery,Skill enough national candidate article think.,High,Brakes,Truck
17353,Body,10/14/2021,Production,Public sea task rather reality fly.,Low,Suspension,Sedan
17354,Body,6/7/2023,Customer Delivery,Fact role organization stuff treat control drop.,Medium,Brakes,SUV
17355,Body,11/2/2022,Testing,Message everyone home window difference.,Medium,Other,Truck
17356,Software,7/8/2021,Customer Delivery,Pm hear population she network game.,Low,Other,Hatchback
17357,Other,12/13/2020,Production,Turn these throughout human successful.,Low,Transmission,Hatchback
17358,Electrical,6/20/2016,After Sales,While book position policy after.,High,Other,Hatchback
17359,Other,1/3/2017,After Sales,Dark fund value charge.,High,Engine,Truck
17360,Software,11/30/2020,Customer Delivery,Require game image.,Medium,Other,SUV
17361,Body,9/25/2022,Testing,Woman yet purpose scene sell way.,High,Suspension,Hatchback
17362,Electrical,4/19/2012,After Sales,Participant before sometimes lawyer.,High,Brakes,Sedan
17363,Other,1/21/2023,Testing,Since leave red cup.,Low,Transmission,Truck
17364,,11/17/2018,,,,,
17365,Software,4/29/2015,After Sales,Politics involve model.,Medium,System,SUV
17366,Software,11/5/2022,After Sales,Night attack a physical him.,Medium,System,Sedan
17367,Mechanical,8/8/2017,Customer Delivery,Floor kid value general someone sister they.,Low,Electrical System,Truck
